School Name,State,region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
New York University (NYU),New York,Northeastern,50300.00,"$95,600.00 ","$47,500.00 ","$65,000.00 ","$142,000.00 ","$216,000.00 "
Vassar College,New York,Northeastern,46000.00,"$94,600.00 ",N/A,"$60,600.00 ","$123,000.00 ",N/A
Middlebury College,Vermont,Northeastern,47700.00,"$94,200.00 ",N/A,"$69,100.00 ","$129,000.00 ",N/A
Mount Holyoke College,Massachusetts,Northeastern,42400.00,"$94,200.00 ",N/A,"$57,100.00 ","$131,000.00 ",N/A
Boston University,Massachusetts,Northeastern,49000.00,"$93,900.00 ","$48,000.00 ","$64,900.00 ","$130,000.00 ","$193,000.00 "
Drexel University,Pennsylvania,Northeastern,53400.00,"$93,500.00 ","$54,900.00 ","$72,500.00 ","$122,000.00 ","$161,000.00 "
"St. John's University, New York",New York,Northeastern,48000.00,"$93,400.00 ","$48,000.00 ","$65,400.00 ","$124,000.00 ","$181,000.00 "
Long Island University,New York,Northeastern,47300.00,"$93,200.00 ","$46,300.00 ","$62,100.00 ","$122,000.00 ","$169,000.00 "
Stony Brook University,New York,Northeastern,49500.00,"$93,000.00 ","$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 "
Franklin and Marshall College,Pennsylvania,Northeastern,49100.00,"$92,800.00 ",N/A,"$55,800.00 ","$185,000.00 ",N/A
Hofstra University,New York,Northeastern,46800.00,"$92,700.00 ","$48,900.00 ","$67,000.00 ","$135,000.00 ","$189,000.00 "
State University of New York (SUNY) at Albany,New York,Northeastern,44500.00,"$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
Rutgers University,New Jersey,Northeastern,50300.00,"$91,800.00 ","$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 "
Pratt Institute,New York,Northeastern,43800.00,"$89,900.00 ","$48,600.00 ","$65,400.00 ","$123,000.00 ","$155,000.00 "
Pace University,New York,Northeastern,53200.00,"$89,700.00 ","$44,200.00 ","$65,400.00 ","$129,000.00 ","$187,000.00 "
Seton Hall University,New Jersey,Northeastern,48900.00,"$89,200.00 ","$55,700.00 ","$70,600.00 ","$133,000.00 ","$195,000.00 "
Rider University,New Jersey,Northeastern,43600.00,"$88,900.00 ","$47,100.00 ","$63,100.00 ","$127,000.00 ","$150,000.00 "
University of Connecticut (UConn),Connecticut,Northeastern,48000.00,"$88,800.00 ","$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 "
Providence College,Rhode Island,Northeastern,48000.00,"$88,600.00 ","$42,800.00 ","$62,900.00 ","$138,000.00 ","$194,000.00 "
University of Massachusetts (UMass) - Amherst,Massachusetts,Northeastern,46600.00,"$88,200.00 ","$43,100.00 ","$61,300.00 ","$122,000.00 ","$168,000.00 "
Ithaca College,New York,Northeastern,42700.00,"$87,400.00 ","$50,200.00 ","$62,400.00 ","$128,000.00 ","$174,000.00 "
University of Massachusetts (UMass) - Lowell,Massachusetts,Northeastern,45400.00,"$86,600.00 ","$50,900.00 ","$65,000.00 ","$113,000.00 ","$158,000.00 "
Northeastern University,Massachusetts,Northeastern,50500.00,"$86,400.00 ","$47,100.00 ","$62,700.00 ","$117,000.00 ","$159,000.00 "
Syracuse University,New York,Northeastern,45700.00,"$85,900.00 ","$46,400.00 ","$59,400.00 ","$119,000.00 ","$178,000.00 "
Colby College,Maine,Northeastern,46400.00,"$85,800.00 ",N/A,"$63,500.00 ","$129,000.00 ",N/A
Gettysburg College,Pennsylvania,Northeastern,44700.00,"$85,800.00 ",N/A,"$66,300.00 ","$132,000.00 ",N/A
Pennsylvania State University (PSU),Pennsylvania,Northeastern,49900.00,"$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 "
University of Rhode Island (URI),Rhode Island,Northeastern,43900.00,"$85,300.00 ","$45,400.00 ","$60,100.00 ","$112,000.00 ","$157,000.00 "
Siena College,New York,Northeastern,45500.00,"$85,200.00 ","$38,700.00 ","$58,400.00 ","$129,000.00 ","$189,000.00 "
La Salle University (Philadelphia),Pennsylvania,Northeastern,43400.00,"$84,700.00 ","$45,300.00 ","$57,500.00 ","$106,000.00 ","$151,000.00 "
Rochester Institute of Technology (RIT),New Jersey,Northeastern,48900.00,"$84,600.00 ","$45,000.00 ","$62,100.00 ","$112,000.00 ","$159,000.00 "
Duquesne University,Pennsylvania,Northeastern,40700.00,"$84,400.00 ","$42,600.00 ","$59,500.00 ","$107,000.00 ","$131,000.00 "
State University of New York (SUNY) at Farmingdale,New York,Northeastern,47300.00,"$84,200.00 ","$50,200.00 ","$59,800.00 ","$110,000.00 ","$162,000.00 "
Smith College,Massachusetts,Northeastern,44000.00,"$83,900.00 ","$45,100.00 ","$59,800.00 ","$129,000.00 ","$184,000.00 "
Hamilton College,New York,Northeastern,49200.00,"$83,700.00 ",N/A,"$51,900.00 ","$123,000.00 ",N/A
Wellesley College,Massachusetts,Northeastern,42800.00,"$83,500.00 ",N/A,"$58,600.00 ","$125,000.00 ",N/A
Widener University,Pennsylvania,Northeastern,52900.00,"$83,400.00 ","$42,600.00 ","$61,400.00 ","$106,000.00 ","$138,000.00 "
University of New Haven,Connecticut,Northeastern,44400.00,"$82,900.00 ","$48,500.00 ","$66,100.00 ","$113,000.00 ","$157,000.00 "
Dowling College,New York,Northeastern,41100.00,"$82,800.00 ","$46,500.00 ","$60,600.00 ","$117,000.00 ","$142,000.00 "
University of Vermont (UVM),Vermont,Northeastern,44800.00,"$82,700.00 ","$44,700.00 ","$58,000.00 ","$122,000.00 ","$194,000.00 "
State University of New York (SUNY) at Buffalo,New York,Northeastern,46200.00,"$81,700.00 ","$45,900.00 ","$61,400.00 ","$110,000.00 ","$147,000.00 "
State University of New York (SUNY) at Geneseo,New York,Northeastern,42300.00,"$81,300.00 ","$39,300.00 ","$47,600.00 ","$117,000.00 ","$173,000.00 "
Fashion Institute of Technology,New York,Northeastern,42800.00,"$81,000.00 ","$38,800.00 ","$60,500.00 ","$106,000.00 ","$138,000.00 "
Philadelphia University,Pennsylvania,Northeastern,45100.00,"$80,300.00 ","$45,800.00 ","$61,900.00 ","$108,000.00 ","$141,000.00 "
Ursinus College,Pennsylvania,Northeastern,42100.00,"$80,000.00 ","$35,600.00 ","$54,300.00 ","$100,000.00 ","$160,000.00 "
Adelphi University,New York,Northeastern,40600.00,"$79,200.00 ","$44,200.00 ","$54,800.00 ","$114,000.00 ","$160,000.00 "
Juniata College,Pennsylvania,Northeastern,41800.00,"$78,900.00 ",N/A,"$67,200.00 ","$110,000.00 ",N/A
Fairleigh Dickinson University,New Jersey,Northeastern,45700.00,"$78,700.00 ","$40,200.00 ","$56,300.00 ","$112,000.00 ","$171,000.00 "
University of New Hampshire (UNH),New Hampshire,Northeastern,41800.00,"$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 "
University of Massachusetts (UMass) - Boston,Massachusetts,Northeastern,45600.00,"$78,200.00 ","$36,300.00 ","$53,800.00 ","$109,000.00 ","$151,000.00 "
State University of New York (SUNY) at Oswego,New York,Northeastern,38000.00,"$77,800.00 ","$40,400.00 ","$53,000.00 ","$115,000.00 ","$169,000.00 "
University of Massachusetts (UMass) - Dartmouth,Massachusetts,Northeastern,43200.00,"$77,700.00 ","$43,300.00 ","$56,200.00 ","$107,000.00 ","$132,000.00 "
State University of New York (SUNY) at Oneonta,New York,Northeastern,37500.00,"$76,700.00 ","$40,000.00 ","$54,300.00 ","$97,700.00 ","$155,000.00 "
Quinnipiac University,Connecticut,Northeastern,43000.00,"$76,500.00 ","$47,900.00 ","$57,400.00 ","$117,000.00 ","$155,000.00 "
State University of New York (SUNY) at Plattsburgh,New York,Northeastern,40800.00,"$76,200.00 ","$38,400.00 ","$54,100.00 ","$105,000.00 ","$136,000.00 "
Sacred Heart University,Connecticut,Northeastern,46000.00,"$75,300.00 ","$39,700.00 ","$54,800.00 ","$105,000.00 ","$150,000.00 "
Skidmore College,New York,Northeastern,41600.00,"$74,600.00 ",N/A,"$42,800.00 ","$147,000.00 ",N/A
Moravian College,Pennsylvania,Northeastern,42500.00,"$74,400.00 ",N/A,"$56,700.00 ","$94,900.00 ",N/A
Penn State - Harrisburg,Pennsylvania,Northeastern,45700.00,"$74,000.00 ","$44,000.00 ","$53,100.00 ","$104,000.00 ","$150,000.00 "
Suffolk University,New York,Northeastern,42100.00,"$74,000.00 ","$48,700.00 ","$57,800.00 ","$95,100.00 ","$145,000.00 "
Fitchburg State College,Massachusetts,Northeastern,42400.00,"$72,600.00 ","$43,300.00 ","$56,100.00 ","$99,600.00 ","$151,000.00 "
Roger Williams University,Rhode Island,Northeastern,42000.00,"$72,300.00 ","$39,800.00 ","$48,500.00 ","$102,000.00 ","$138,000.00 "
University Of Maine,Maine,Northeastern,41200.00,"$72,100.00 ","$41,700.00 ","$55,600.00 ","$99,300.00 ","$141,000.00 "
State University of New York (SUNY) at Potsdam,New York,Northeastern,38000.00,"$70,300.00 ","$35,100.00 ","$51,200.00 ","$100,000.00 ","$179,000.00 "
Niagara University,New York,Northeastern,36900.00,"$69,700.00 ","$44,000.00 ","$57,000.00 ","$92,000.00 ","$128,000.00 "
State University of New York (SUNY) at Fredonia,New York,Northeastern,37800.00,"$66,200.00 ","$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 "
University of Southern Maine,Maine,Northeastern,39400.00,"$63,600.00 ","$40,400.00 ","$47,900.00 ","$85,700.00 ","$117,000.00 "
Mercy College,Iowa,Northeastern,43700.00,"$62,600.00 ","$35,600.00 ","$47,300.00 ","$99,000.00 ","$134,000.00 "
